Date,Time,Open,High,Low,Close,Tickvol,Vol,Spread
1/1/2025,12:00:00 AM,157.059,157.061,157.059,157.061,2,0,151
1/2/2025,12:00:00 AM,157.125,157.275,157.125,157.258,406,0,22
1/2/2025,1:00:00 AM,157.258,157.779,157.223,157.698,1801,0,4
1/2/2025,2:00:00 AM,157.702,157.772,157.296,157.431,3024,0,4
1/2/2025,3:00:00 AM,157.431,157.662,157.417,157.509,2904,0,4
1/2/2025,4:00:00 AM,157.509,157.509,157.265,157.284,1853,0,4
1/2/2025,5:00:00 AM,157.282,157.301,157.131,157.159,1613,0,4
1/2/2025,6:00:00 AM,157.159,157.159,156.997,157.021,1532,0,4
1/2/2025,7:00:00 AM,157.021,157.207,156.977,157.206,1597,0,4
1/2/2025,8:00:00 AM,157.206,157.209,156.658,156.66,2101,0,4
1/2/2025,9:00:00 AM,156.655,156.745,156.44,156.672,3121,0,4
1/2/2025,10:00:00 AM,156.684,156.827,156.463,156.781,3289,0,3
1/2/2025,11:00:00 AM,156.78,156.916,156.749,156.791,2756,0,4
1/2/2025,12:00:00 PM,156.8,157.16,156.79,157.132,2827,0,4
1/2/2025,1:00:00 PM,157.131,157.284,157.053,157.199,2737,0,4
1/2/2025,2:00:00 PM,157.197,157.21,157.018,157.079,2757,0,4
1/2/2025,3:00:00 PM,157.079,157.236,156.714,156.827,3933,0,4
1/2/2025,4:00:00 PM,156.81,157.114,156.635,157.023,4125,0,4
1/2/2025,5:00:00 PM,157.027,157.185,156.779,157.148,4354,0,3
1/2/2025,6:00:00 PM,157.147,157.749,157.131,157.659,3816,0,4
1/2/2025,7:00:00 PM,157.659,157.848,157.489,157.564,3535,0,4
1/2/2025,8:00:00 PM,157.563,157.63,157.464,157.499,2955,0,4
1/2/2025,9:00:00 PM,157.498,157.671,157.475,157.618,2471,0,3
1/2/2025,10:00:00 PM,157.617,157.654,157.566,157.627,2182,0,4
1/2/2025,11:00:00 PM,157.628,157.629,157.422,157.444,1276,0,4
1/3/2025,12:00:00 AM,157.397,157.499,157.397,157.45,218,0,23
1/3/2025,1:00:00 AM,157.437,157.564,157.351,157.353,1001,0,4
1/3/2025,2:00:00 AM,157.36,157.399,157.176,157.212,2334,0,2
1/3/2025,3:00:00 AM,157.208,157.405,157.188,157.283,1837,0,4
1/3/2025,4:00:00 AM,157.283,157.358,157.248,157.312,2065,0,4
1/3/2025,5:00:00 AM,157.312,157.458,157.184,157.307,1515,0,4
1/3/2025,6:00:00 AM,157.307,157.388,157.249,157.283,1681,0,4
1/3/2025,7:00:00 AM,157.283,157.355,157.239,157.299,1712,0,4
1/3/2025,8:00:00 AM,157.298,157.298,157.13,157.168,1350,0,4
1/3/2025,9:00:00 AM,157.159,157.264,157.04,157.132,2790,0,4
1/3/2025,10:00:00 AM,157.135,157.424,157.128,157.33,2743,0,3
1/3/2025,11:00:00 AM,157.326,157.332,157.088,157.252,2851,0,5
1/3/2025,12:00:00 PM,157.25,157.382,157.173,157.375,2330,0,3
1/3/2025,1:00:00 PM,157.375,157.389,157.203,157.243,1934,0,4
1/3/2025,2:00:00 PM,157.245,157.252,157.06,157.163,2183,0,4
1/3/2025,3:00:00 PM,157.162,157.239,157.023,157.185,2839,0,4
1/3/2025,4:00:00 PM,157.185,157.31,157.117,157.118,2731,0,4
1/3/2025,5:00:00 PM,157.347,157.49,157.167,157.393,3915,0,4
1/3/2025,6:00:00 PM,157.395,157.401,157.201,157.205,2621,0,4
1/3/2025,7:00:00 PM,157.202,157.211,156.873,157.167,2714,0,3
1/3/2025,8:00:00 PM,157.165,157.239,157.108,157.166,1778,0,4
1/3/2025,9:00:00 PM,157.166,157.226,157.106,157.202,1591,0,4
1/3/2025,10:00:00 PM,157.204,157.349,157.141,157.336,1538,0,4
1/3/2025,11:00:00 PM,157.335,157.38,157.233,157.261,1148,0,2
1/6/2025,12:00:00 AM,157.13,157.374,157.13,157.34,244,0,18
1/6/2025,1:00:00 AM,157.327,157.527,157.321,157.503,1415,0,5
1/6/2025,2:00:00 AM,157.503,157.828,157.497,157.586,2743,0,3
